s,C,mol/mol
Time,"TC_Center","CO_Center"
 1.1272790E+002, 2.0962048E+002, 2.6926435E-004
 1.1306901E+002, 2.1520078E+002, 2.8474200E-004
 1.1341013E+002, 2.2140260E+002, 2.9500343E-004
 1.1376830E+002, 2.2815400E+002, 3.0121626E-004
 1.1414352E+002, 2.3512249E+002, 3.0441387E-004
 1.1450906E+002, 2.4167862E+002, 3.0696314E-004
 1.1490103E+002, 2.4759736E+002, 3.0681850E-004
 1.1527394E+002, 2.5260472E+002, 3.0176148E-004
 1.1557226E+002, 2.5607743E+002, 2.9471489E-004
 1.1595263E+002, 2.5874397E+002, 2.8426463E-004
 1.1630540E+002, 2.6082594E+002, 2.6829347E-004
 1.1666637E+002, 2.6183426E+002, 2.5221429E-004
 1.1702735E+002, 2.6178117E+002, 2.3857599E-004
 1.1738832E+002, 2.6032335E+002, 2.2245167E-004
 1.1774929E+002, 2.5737292E+002, 2.0486113E-004
 1.1811027E+002, 2.5293753E+002, 1.8303777E-004
 1.1847124E+002, 2.4664569E+002, 1.5627556E-004
 1.1886831E+002, 2.3807843E+002, 1.2849963E-004
 1.1922223E+002, 2.2858350E+002, 1.0306926E-004
 1.1956176E+002, 2.1876414E+002, 8.3551737E-005
 1.1990129E+002, 2.0886419E+002, 7.1513102E-005
 1.2029157E+002, 1.9914465E+002, 6.7011151E-005
 1.2064146E+002, 1.9081880E+002, 7.1939020E-005
 1.2098338E+002, 1.8480021E+002, 8.8406867E-005
 1.2136018E+002, 1.8094512E+002, 1.2276626E-004
 1.2169117E+002, 1.8038105E+002, 1.7156941E-004
 1.2210490E+002, 1.8296398E+002, 2.0962654E-004
 1.2243588E+002, 1.8732841E+002, 2.2609331E-004
 1.2276686E+002, 1.9126896E+002, 2.2507935E-004
 1.2318059E+002, 1.9444542E+002, 2.1742200E-004
 1.2351158E+002, 1.9666256E+002, 2.1024003E-004
 1.2387566E+002, 1.9796880E+002, 2.0504773E-004
 1.2423974E+002, 1.9843793E+002, 1.9947888E-004
 1.2456686E+002, 1.9870245E+002, 2.0429563E-004
 1.2497575E+002, 1.9927656E+002, 2.1462060E-004
 1.2530287E+002, 1.9940062E+002, 2.1016864E-004
 1.2571176E+002, 1.9836829E+002, 1.9635133E-004
 1.2603888E+002, 1.9684414E+002, 1.8861146E-004
 1.2636599E+002, 1.9540638E+002, 1.8540599E-004
 1.2677489E+002, 1.9349817E+002, 1.7887648E-004
 1.2710200E+002, 1.9098560E+002, 1.6772621E-004
 1.2751089E+002, 1.8790196E+002, 1.6375433E-004
 1.2783801E+002, 1.8548260E+002, 1.9099145E-004
 1.2818966E+002, 1.8520356E+002, 2.4136359E-004
 1.2854949E+002, 1.8715435E+002, 2.9782484E-004
 1.2890931E+002, 1.9066000E+002, 3.2418028E-004
 1.2926914E+002, 1.9495401E+002, 3.1518262E-004
 1.2960192E+002, 1.9873821E+002, 2.8848097E-004
 1.3000662E+002, 2.0145545E+002, 2.4992384E-004
 1.3034656E+002, 2.0216981E+002, 2.1133864E-004
 1.3070270E+002, 2.0081124E+002, 1.8168578E-004
 1.3105884E+002, 1.9801222E+002, 1.6269172E-004
 1.3141497E+002, 1.9472523E+002, 1.5538740E-004
 1.3176149E+002, 1.9196930E+002, 1.5734420E-004
 1.3215854E+002, 1.9027059E+002, 1.6899689E-004
 1.3250001E+002, 1.9015474E+002, 1.8885013E-004
 1.3284941E+002, 1.9159956E+002, 2.0811417E-004
 1.3328617E+002, 1.9459947E+002, 2.2570067E-004
 1.3361694E+002, 1.9796695E+002, 2.3860471E-004
 1.3392907E+002, 2.0051437E+002, 2.4431746E-004
 1.3431922E+002, 2.0251307E+002, 2.4160862E-004
 1.3464696E+002, 2.0336017E+002, 2.3259841E-004
 1.3507613E+002, 2.0284527E+002, 2.1926346E-004
 1.3541947E+002, 2.0143053E+002, 2.0959075E-004
 1.3576281E+002, 1.9991159E+002, 2.0838655E-004
 1.3613189E+002, 1.9854442E+002, 2.1435115E-004
 1.3650957E+002, 1.9759179E+002, 2.2307443E-004
 1.3688724E+002, 1.9714292E+002, 2.2327608E-004
 1.3717049E+002, 1.9664974E+002, 2.0833666E-004
 1.3754817E+002, 1.9530941E+002, 1.8378623E-004
 1.3792584E+002, 1.9208750E+002, 1.4329247E-004
 1.3830351E+002, 1.8681831E+002, 1.0860010E-004
 1.3868118E+002, 1.8040296E+002, 9.3316010E-005
 1.3902966E+002, 1.7405333E+002, 8.8474936E-005
 1.3936841E+002, 1.6815371E+002, 8.7078304E-005
 1.3971562E+002, 1.6243570E+002, 8.4368994E-005
 1.4008824E+002, 1.5652260E+002, 8.0436904E-005
 1.4043762E+002, 1.5079283E+002, 7.5646154E-005
 1.4076374E+002, 1.4560335E+002, 7.0797658E-005
 1.4117140E+002, 1.4012682E+002, 6.6439053E-005
 1.4149752E+002, 1.3518140E+002, 6.7569245E-005
 1.4190518E+002, 1.3160867E+002, 8.0550246E-005
 1.4223130E+002, 1.2967470E+002, 9.7979620E-005
 1.4258188E+002, 1.2938139E+002, 1.1140829E-004
 1.4298997E+002, 1.3017301E+002, 1.1706643E-004
 1.4330838E+002, 1.3120877E+002, 1.1491662E-004
 1.4365874E+002, 1.3190529E+002, 1.0897491E-004
 1.4400910E+002, 1.3211883E+002, 1.0063490E-004
 1.4442953E+002, 1.3162419E+002, 9.1651535E-005
 1.4477989E+002, 1.3056728E+002, 8.6348674E-005
 1.4508120E+002, 1.2952844E+002, 8.6564151E-005
 1.4547531E+002, 1.2874329E+002, 9.1366276E-005
 1.4587201E+002, 1.2861633E+002, 1.0100223E-004
 1.4620134E+002, 1.2924114E+002, 1.1036807E-004
 1.4653067E+002, 1.3018186E+002, 1.1740444E-004
 1.4694233E+002, 1.3136499E+002, 1.2325213E-004
 1.4729636E+002, 1.3261150E+002, 1.2857797E-004
 1.4762812E+002, 1.3372646E+002, 1.3268009E-004
 1.4803009E+002, 1.3503995E+002, 1.3707422E-004
 1.4835168E+002, 1.3656583E+002, 1.4265058E-004
 1.4875366E+002, 1.3849958E+002, 1.4896953E-004
 1.4907524E+002, 1.4089346E+002, 1.5626172E-004
 1.4947722E+002, 1.4373796E+002, 1.6488401E-004
 1.4976758E+002, 1.4673767E+002, 1.7220416E-004
 1.5015628E+002, 1.4975661E+002, 1.7615618E-004
 1.5048020E+002, 1.5256031E+002, 1.7623495E-004
 1.5088023E+002, 1.5458280E+002, 1.7384421E-004
 1.5124083E+002, 1.5578839E+002, 1.6795401E-004
 1.5160732E+002, 1.5591868E+002, 1.5597152E-004
 1.5200284E+002, 1.5508296E+002, 1.4132374E-004
 1.5233752E+002, 1.5381225E+002, 1.2967257E-004
 1.5267220E+002, 1.5252268E+002, 1.2202106E-004
 1.5300688E+002, 1.5164499E+002, 1.2037601E-004
 1.5342522E+002, 1.5171762E+002, 1.3108351E-004
 1.5375990E+002, 1.5362370E+002, 1.6163523E-004
 1.5409458E+002, 1.5810810E+002, 2.0791990E-004
 1.5451292E+002, 1.6663093E+002, 2.6567851E-004
 1.5484760E+002, 1.7700012E+002, 2.9372975E-004
 1.5518228E+002, 1.8545903E+002, 2.7139114E-004
